	Parabacteroides_goldsteinii	Muribaculum_intestinale	Helicobacter_apodemus	Akkermansia_muciniphila	Lactobacillus_murinus	Helicobacter_typhlonius	Alistipes_timonensis	Bacteroides_vulgatus	Helicobacter_hepaticus	Bacteroides_thetaiotaomicron	Asaccharobacter_celatus	Mucispirillum_schaedleri	pd	Turicimonas_muris	Lactobacillus_reuteri	v9	Bacteroides_uniformis	Helicobacter_ganmani	Parasutterella_excrementihominis	Bacteroides_caecimuris	Bacteroides_sartorii	Adlercreutzia_equolifaciens	Faecalibaculum_rodentium
Asaccharobacter_celatus	0.6970958823529411	0.70449	0.7437828571428573	0.70524	0.7374941666666667	0.7569266666666667	0.6968643333333333	0.6999593749999999	0.7520771428571429	0.6946459999999999	1.0	0.741925	0.7116649999999999	0.7255723076923077	0.7860316666666667	0.7148461111111111	0.7002234999999999	0.7418866666666668	0.722785625	0.6979735714285714	0.702988125	0.9646125907990315	0.7076854054054053
Mucispirillum_schaedleri	0.7034257142857142	0.725707	0.7095468000000001	0.7163241666666665	0.730666875	0.7086666666666668	0.736666	0.7141788235294116	0.7298108333333333	0.7097042105263159	0.7419222222222223	1.0	0.7064322222222222	0.7131215789473683	0.7164708333333333	0.7468287499999999	0.7208057142857144	0.70327125	0.7213938461538462	0.7042155	0.7219862499999999	0.7342010000000001	0.742481
pd	0.7564210476190476	0.714696489361702	0.7302478947368422	0.7009002173913043	0.7381095833333333	0.723704	0.7036273191489362	0.724499256926952	0.7224757142857142	0.7233872499999999	0.7149295999999999	0.7127310344827587	1.0	0.7176829629629629	0.7409450000000001	0.7110334782608696	0.7509595243757431	0.7313444444444446	0.713272	0.7488282767624022	0.7308364698795181	0.711711923076923	0.721512
Turicimonas_muris	0.7120246428571428	0.7104512	0.7235845000000002	0.7237514999999999	0.7364417391304348	0.7242918181818182	0.7299594117647059	0.7084869230769231	0.7297168181818183	0.7123804545454544	0.743338888888889	0.7247099999999999	0.7112362962962963	1.0	0.7329060000000002	0.7223080000000001	0.7060457692307692	0.7236872727272727	0.7321414988558352	0.7086712000000001	0.7064907142857143	0.7435722222222222	0.7273513636363635
Lactobacillus_reuteri	0.7355292307692307	0.7650799999999999	0.7607616666666667	0.7532510000000001	0.710181023890785	0.766769090909091	0.7608540000000001	0.7438041666666666	0.7457778571428573	0.7374723076923076	0.7790710000000001	0.7263657894736844	0.745399090909091	0.738816923076923	1.0	0.81251	0.7341130769230769	0.7702036363636363	0.7806492857142857	0.7396676923076925	0.7393392307692308	0.7778780000000001	0.7553470588235294
v9	0.7171169999999999	0.7119108333333333	0.7397175	0.7079650000000001	0.74062	0.7522233333333334	0.6977818181818182	0.7216233333333334	0.7491742857142858	0.733005	0.7113322222222221	0.74782625	0.7164150000000001	0.7267339999999999	0.7688755555555554	1.0	0.7194045454545455	0.742292	0.7380221428571427	0.7213160000000001	0.7367474999999999	0.7149586440677965	0.7058766666666666
Bacteroides_uniformis	0.7201175478468899	0.7041519819819821	0.7212892307692308	0.6964564	0.7238452941176471	0.71576625	0.7031922088353414	0.7386708512330948	0.714534375	0.7579229505192424	0.7031561904761905	0.7169426315789476	0.7477956644144145	0.706315	0.7451577777777779	0.716363076923077	1.0	0.72966	0.714091052631579	0.7589468126984127	0.7414966616766466	0.6988927272727272	0.7006052173913045
Helicobacter_ganmani	0.7204216666666667	0.7275	0.7355925810473817	0.7413274999999999	0.7175577777777778	0.7553758302583025	0.714965	0.7098049999999999	0.7550228819444444	0.7085162499999998	0.7375166666666668	0.6957968421052632	0.7283760000000001	0.7065199999999999	0.7174216666666667	0.7266133333333334	0.71246	1.0	0.7138242857142857	0.6939155555555556	0.7199016666666666	0.7371900000000001	0.7320475
Parasutterella_excrementihominis	0.7042172727272726	0.7047872727272727	0.7140400000000001	0.7115283333333333	0.72380875	0.699207142857143	0.7098537500000001	0.70307375	0.7219533333333333	0.7150542857142856	0.69501	0.7181049999999999	0.7113719999999999	0.7274021348314607	0.778655	0.7590772727272728	0.7002763636363636	0.6930499999999999	1.0	0.7004288888888889	0.70770625	0.6981025	0.7127311111111111
Bacteroides_caecimuris	0.7499472475961539	0.7253738125000001	0.7188826666666667	0.7192893939393941	0.7156776190476188	0.7196829411764706	0.7012558333333333	0.743228932038835	0.7206535294117647	0.8155859520753101	0.7139924999999999	0.7093924	0.7446961082474227	0.7088571428571429	0.7316854545454545	0.7139292857142857	0.758639411764706	0.7168911111111111	0.7084909523809525	1.0	0.7554308944954129	0.712718125	0.7140935294117648
Bacteroides_sartorii	0.7307787282051282	0.7164665165165165	0.7261690909090911	0.7061501886792454	0.7330116666666667	0.7292440000000001	0.7069054106280194	0.9025075794938353	0.7230307407407408	0.7408598345466578	0.7164296296296297	0.726254827586207	0.7285087853773585	0.7156973333333333	0.751182857142857	0.718154	0.7534754341534009	0.7230304347826088	0.7208695833333333	0.7575585767790263	1.0	0.7176534615384615	0.7209325
Adlercreutzia_equolifaciens	0.6898715384615385	0.6871231578947369	0.71945	0.7081553333333334	0.73395625	0.7142533333333334	0.688776551724138	0.6907741666666667	0.7284	0.6900563636363637	0.9638647195357833	0.7268457142857142	0.6930669230769231	0.713828	0.764738	0.7087138888888889	0.7007099999999999	0.7531133333333334	0.7055653333333334	0.6897700000000001	0.69304	1.0	0.7003744117647059
Faecalibaculum_rodentium	0.727795	0.7292505999999999	0.7303783783783784	0.722615625	0.7624432258064515	0.7335836585365852	0.7166382	0.7179787234042553	0.7355758536585365	0.7204266	0.7276643661971831	0.7459502325581395	0.7298300000000001	0.7297442307692308	0.7829945714285714	0.7303247727272728	0.7193667307692307	0.7305952500000001	0.7392995555555555	0.7211175510204082	0.72167625	0.7309649253731344	1.0
